Batch size,Accuracy,Loss,Accuracy(No Norm.),Loss(No Norm.)
1,0.9583333134651184,0.2751154601573944,0.1041666641831398,1.8591904640197754
2,0.9583333134651184,0.1151590645313263,0.3541666567325592,35.999813079833984
4,0.9583333134651184,0.6590175032615662,0.6666666865348816,0.5365551114082336
8,0.9583333134651184,0.1892780065536499,0.6875,0.8237664699554443
16,0.9583333134651184,0.2976970672607422,0.6666666865348816,5.129531383514404
32,0.9583333134651184,0.3103835880756378,0.3125,14.643500328063965
